timestamp,age_group,country,tenure,purchase_frequency,amount,purchase_type,player_style,guild_size,leader_ingame,leader_rl,spending_group,leader_status,overall_leadership,spender_class
11/10/2024 19:46:57,Less than 20,Sri Lanka,More than 4 years,Never,0 (Do not spend),Do not spend,Active but non-competitive,More than 60,Never,No,No spenders,No leader,Non leader,No spenders
11/10/2024 19:47:27,20 to 34,Czech Republic,More than 4 years,Only once,Up to 50,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",Active but non-competitive,More than 60,I currently lead one,No,Lower spenders,Leader,In game,Lower spenders
11/10/2024 19:59:00,35 to 49,United Kingdom,More than 4 years,A few times per year,Up to 300,Reach higher event leagues and get more Grand Prizes,Competitive,More than 60,I currently lead one,Yes,Moderate spenders,Leader,Real life and in game,Moderate spenders
11/10/2024 20:29:50,50 to 64,Romania,More than 4 years,A few times per year,Up to 100,Reach higher event leagues and get more Grand Prizes,For fun/ casual,41 to 60 players,Never,No,Moderate spenders,No leader,Non leader,Moderate spenders
11/10/2024 20:32:46,20 to 34,United Kingdom,More than 4 years,A few times per year,Up to 50,Reach higher event leagues and get more Grand Prizes,Competitive,More than 60,"Yes, for a while",No,Lower spenders,No leader,Non leader,Lower spenders
11/10/2024 20:32:52,35 to 49,Serbia,Between 3 months and a year,Only once,Up to 20,"Other (Quantum Incursions, Guild Expedition, Settlements, Castle System, Forge Plus)",For fun/ casual,Up to 20 players,Never,Yes,Lower spenders,No leader,Real life,Lower spenders
11/10/2024 20:43:40,35 to 49,Germany,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,"Yes, for a while",Yes,No spenders,No leader,Real life,No spenders
11/10/2024 21:15:59,50 to 64,United Kingdom,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,"Yes, for a while",Yes,No spenders,No leader,Real life,No spenders
11/10/2024 21:24:21,35 to 49,Serbia,More than 4 years,Never,0 (Do not spend),Do not spend,Active but non-competitive,41 to 60 players,"Yes, for a while",Yes,No spenders,No leader,Real life,No spenders
11/10/2024 21:29:26,50 to 64,United Kingdom,More than 4 years,Only once,Up to 100,Progress faster in the eras or get extra content first,Competitive,Up to 20 players,"Yes, for a while",Yes,Moderate spenders,No leader,Real life,Moderate spenders
11/10/2024 21:40:13,35 to 49,United Kingdom,More than 4 years,A few times per year,Up to 500,Compete in Guild Battleground,Competitive,Up to 20 players,I currently lead one,Yes,Higher spenders,Leader,Real life and in game,Higher spenders
11/10/2024 21:54:14,50 to 64,United Kingdom,Between 2 and 4 years,Never,0 (Do not spend),Do not spend,For fun/ casual,21 to 40 players,Never,No,No spenders,No leader,Non leader,No spenders
11/10/2024 23:11:44,50 to 64,United States,Between 1 and 2 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,Never,No,No spenders,No leader,Non leader,No spenders
11/10/2024 23:41:58,50 to 64,United Kingdom,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,I currently lead one,Yes,No spenders,Leader,Real life and in game,No spenders
11/10/2024 23:50:21,35 to 49,United Kingdom,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,I currently lead one,Yes,No spenders,Leader,Real life and in game,No spenders
11/10/2024 23:50:48,20 to 34,United Kingdom,More than 4 years,Only once,Up to 50,Reach higher event leagues and get more Grand Prizes,For fun/ casual,21 to 40 players,"Yes, for a while",No,Lower spenders,No leader,Non leader,Lower spenders
11/10/2024 23:55:59,35 to 49,Slovenia,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,I currently lead one,Yes,No spenders,Leader,Real life and in game,No spenders
11/10/2024 23:58:19,50 to 64,Australia,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,41 to 60 players,I currently lead one,Yes,No spenders,Leader,Real life and in game,No spenders
12/10/2024 00:47:50,50 to 64,Australia,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,"Yes, for a while",Yes,No spenders,No leader,Real life,No spenders
12/10/2024 01:05:08,More than 64,United Kingdom,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,21 to 40 players,"Yes, for a while",Yes,No spenders,No leader,Real life,No spenders
12/10/2024 01:39:19,35 to 49,Canada,More than 4 years,Never,0 (Do not spend),Do not spend,Active but non-competitive,41 to 60 players,Never,No,No spenders,No leader,Non leader,No spenders
12/10/2024 02:03:58,35 to 49,Australia,More than 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,I currently lead one,No,No spenders,Leader,In game,No spenders
12/10/2024 02:22:33,More than 64,Canada,More than 4 years,A few times per year,Up to 500,Reach higher event leagues and get more Grand Prizes,Competitive,41 to 60 players,I currently lead one,Yes,Higher spenders,Leader,Real life and in game,Higher spenders
12/10/2024 03:53:14,35 to 49,Philippines,Between 2 and 4 years,Never,0 (Do not spend),Do not spend,Competitive,More than 60,"Yes, for a while",Yes,No spenders,No leader,Real life,No spenders
12/10/2024 03:55:35,20 to 34,Russia,Between 3 months and a year,Never,0 (Do not spend),Do not spend,Competitive,Up to 20 players,I currently lead one,Yes,No spenders,Leader,Real life and in game,No spenders
12/10/2024 04:54:14,50 to 64,Sweden,More than 4 years,A few times per year,Up to 100,Compete in Guild Battleground,Competitive,More than 60,"Yes, for a while",No,Moderate spenders,No leader,Non leader,Moderate spenders
12/10/2024 11:26:27,35 to 49,United Kingdom,Between 1 and 2 years,A few times per year,Up to 300,Compete in Guild Battleground,Active but non-competitive,Up to 20 players,I currently lead one,Yes,Moderate spenders,Leader,Real life and in game,Moderate spenders
12/10/2024 11:32:36,35 to 49,Romania,More than 4 years,A few times per year,Up to 300,Progress faster in the eras or get extra content first,Competitive,More than 60,I currently lead one,Yes,Moderate spenders,Leader,Real life and in game,Moderate spenders
12/10/2024 11:47:15,35 to 49,United Kingdom,Between 1 and 2 years,Never,0 (Do not spend),Do not spend,For fun/ casual,Up to 20 players,I currently lead one,Yes,No spenders,Leader,Real life and in game,No spenders
12/10/2024 12:39:50,50 to 64,Australia,More than 4 years,A few times per year,Up to 100,Reach higher event leagues and get more Grand Prizes,Competitive,41 to 60 players,"Yes, for a while",Yes,Moderate spenders,No leader,Real life,Moderate spenders
12/10/2024 14:52:16,35 to 49,Australia,Between 2 and 4 years,Never,0 (Do not spend),Do not spend,Active but non-competitive,Up to 20 players,I currently lead one,Yes,No spenders,Leader,Real life and in game,No spenders
12/10/2024 16:01:42,50 to 64,United Kingdom,Between 1 and 2 years,Only once,Up to 50,Reach higher event leagues and get more Grand Prizes,Competitive,More than 60,Never,Yes,Lower spenders,No leader,Real life,Lower spenders
12/10/2024 16:02:28,50 to 64,Greece,Between 2 and 4 years,Only once,Up to 20,Do not spend,Competitive,Up to 20 players,"Yes, for a while",Yes,Lower spenders,No leader,Real life,Lower spenders
13/10/2024 01:24:21,20 to 34,Spain,Between 1 and 2 years,A few times per year,Up to 20,Compete in Guild Battleground,Competitive,More than 60,"Yes, for a while",Yes,Lower spenders,No leader,Real life,Lower spenders
13/10/2024 12:21:27,50 to 64,United Kingdom,Between 2 and 4 years,A few times per year,Up to 300,Progress faster in the eras or get extra content first,Competitive,More than 60,Never,Yes,Moderate spenders,No leader,Real life,Moderate spenders
